"fipstate","fipscty","sic","empflag","emp","est"
"53","045","5960","A",0,2
"53","045","5961","A",0,1
"53","045","5963","A",0,1
"53","045","5980","A",0,3
"53","045","5983","A",0,1
"53","045","5984","A",0,2
"53","045","5990","A",0,4
"53","045","5992","A",0,3
"53","045","5995","A",0,1
"53","045","60--",,360,51
"53","045","6000","B",0,5
"53","045","6020","B",0,4
"53","045","6030","A",0,1
"53","045","6100","B",0,3
"53","045","6140","B",0,2
"53","045","6160","A",0,1
"53","045","6200","A",0,1
"53","045","6210","A",0,1
"53","045","6300","A",0,3
"53","045","6330","A",0,2
"53","045","6360","A",0,1
"53","045","6400",,35,12
"53","045","6500",,121,26
"53","045","6510",,57,9
"53","045","6530",,27,6
"53","045","6540","A",0,1
"53","045","6550","A",0,4
"53","045","6552","A",0,2
"53","045","6553","A",0,1
"53","045","6700","A",0,1
"53","045","6710","A",0,1
"53","045","70--",,1421,220
"53","045","7000",,113,9
"53","045","7010","C",0,5
"53","045","7030","A",0,4
"53","045","7032","A",0,2
"53","045","7033","A",0,2
"53","045","7200",,72,26
"53","045","7210","A",0,3
"53","045","7216","A",0,3
"53","045","7220","A",0,1
"53","045","7230",,44,17
"53","045","7240","A",0,1
"53","045","7260","A",0,1
"53","045","7290","A",0,3
"53","045","7291","A",0,1
"53","045","7299","A",0,2
"53","045","7300",,23,9
"53","045","7340","A",0,3
"53","045","7342","A",0,2
"53","045","7349","A",0,1
"53","045","7350","A",0,1
"53","045","7359","A",0,1
"53","045","7380","A",0,3
"53","045","7384","A",0,1
"53","045","7389","A",0,2
"53","045","7500",,43,21
"53","045","7510","A",0,1
"53","045","7513","A",0,1
"53","045","7530","B",0,20
"53","045","7532","A",0,6
"53","045","7534","A",0,1
"53","045","7538",,21,12
"53","045","7539","A",0,1
"53","045","7600",,17,7
"53","045","7690",,17,7
"53","045","7699",,17,7
"53","045","7800",,21,5
"53","045","7830","A",0,1
"53","045","7832","A",0,1
"53","045","7840","A",0,4
"53","045","7900",,106,10
"53","045","7930","B",0,2
"53","045","7990","B",0,8
"53","045","7991","A",0,1
"53","045","7997","B",0,5
"53","045","7999","A",0,2
"53","045","8000",,692,48
"53","045","8010",,72,16
"53","045","8020",,73,11
"53","045","8030","A",0,1
"53","045","8040",,28,10
"53","045","8041",,16,4
"53","045","8042","A",0,2
"53","045","8043","A",0,2
"53","045","8049","A",0,2
"53","045","8050","C",0,2
"53","045","8060","C",0,1
"53","045","8080","B",0,3
"53","045","8090","B",0,3
"53","045","8100",,25,12
"53","045","8200","A",0,3
"53","045","8210","A",0,1
"53","045","8290","A",0,2
"53","045","8300",,92,17
"53","045","8320",,15,6
"53","045","8330","B",0,1
"53","045","8350",,8,3
"53","045","8360","B",0,3
"53","045","8390","A",0,1
"53","045","8600",,153,32
"53","045","8610","A",0,1
"53","045","8630","A",0,2
"53","045","8640",,63,13
"53","045","8660",,69,16
"53","045","8700",,43,17
"53","045","8710","A",0,4
"53","045","8712","A",0,2
"53","045","8713","A",0,1
"53","045","8720",,25,9
"53","045","8740","A",0,4
"53","045","8741","A",0,1
"53","045","8742","A",0,2
"53","045","8748","A",0,1
"53","045","8900","A",0,3
"53","045","899\","A",0,1
"53","045","99--",,96,70
"53","047","----",,6247,844
"53","047","07--",,179,18
"53","047","0700","C",0,13
"53","047","0720","C",0,4
"53","047","0740","A",0,3
"53","047","0750","A",0,1
"53","047","0780",,1,4
"53","047","0800","A",0,5
"53","047","10--","A",0,1
"53","047","1400","A",0,1
"53","047","1420","A",0,1
"53","047","1422","A",0,1
"53","047","15--",,218,65
"53","047","1500",,102,25
"53","047","1510","B",0,13
"53","047","1530","A",0,1
"53","047","1600",,16,5
"53","047","1610","A",0,1
"53","047","1620","A",0,4
"53","047","1700",,100,35
"53","047","1710","A",0,4
"53","047","1730",,33,9
"53","047","1740",,18,5
"53","047","1741","A",0,3
"53","047","1742","A",0,2
"53","047","1750","A",0,3
"53","047","1751","A",0,3
"53","047","1760","A",0,2
"53","047","1770","A",0,1
"53","047","1780","A",0,1
"53","047","1790",,9,9
"53","047","1794","A",0,2
"53","047","1796","A",0,1
"53","047","1799",,3,3
"53","047","20--",,1180,56
"53","047","2000","A",0,2
"53","047","2010","A",0,1
"53","047","2011","A",0,1
"53","047","2020","A",0,1
"53","047","2024","A",0,1
"53","047","2400",,1061,34
"53","047","2410","E",0,29
"53","047","2420","F",0,4
"53","047","2421","F",0,4
"53","047","2700",,64,5
"53","047","2710","B",0,4
"53","047","2750","A",0,1
"53","047","3200",,30,6
"53","001","----",,3156,368
"53","001","07--",,78,16
"53","001","0700",,78,16
"53","001","0720",,59,8
"53","001","0740","A",0,2
"53","001","0750","A",0,2
"53","001","0760","A",0,1
"53","001","0761","A",0,1
"53","001","10--","A",0,1
"53","001","1200","A",0,1
"53","001","15--",,78,23
"53","001","1500",,26,7
"53","001","1510",,22,4
"53","001","1600",,21,3
"53","001","1610","A",0,1
"53","001","1620","A",0,1
"53","001","1700",,31,13
"53","001","1710","A",0,2
"53","001","1730","A",0,2
"53","001","1750","A",0,2
"53","001","1751","A",0,2
"53","001","1770","A",0,1
"53","001","1790","A",0,5
"53","001","1794","A",0,3
"53","001","1796","A",0,1
"53","001","1799","A",0,1
"53","001","20--","G",0,10
"53","001","2000","F",0,4
"53","001","2030","F",0,3
"53","001","2037","F",0,3
"53","001","2040","A",0,1
"53","001","2048","A",0,1
"53","001","2700","B",0,2
"53","001","2710","B",0,2
"53","001","3200","A",0,1
"53","001","3270","A",0,1
"53","001","3273","A",0,1
"53","001","3500","A",0,2
"53","001","3520","A",0,2
"53","001","3523","A",0,2
"53","001","3700","A",0,1
"53","001","3710","A",0,1
"53","001","40--",,124,28
"53","001","4200",,77,21
"53","001","4210","B",0,18
"53","001","4220","A",0,1
"53","001","4221","A",0,1
"53","001","4700","A",0,3
"53","001","4720","A",0,2
"53","001","4724","A",0,2
"53","001","4800","A",0,2
"53","001","4810","A",0,1
"53","001","4813","A",0,1
"53","001","4830","A",0,1
"53","001","4900","B",0,2
"53","001","4910","B",0,1
"53","001","4930","A",0,1
"53","001","4931","A",0,1
"53","001","50--",,603,49
"53","001","5000","C",0,16
"53","001","5080","C",0,16
"53","001","5083","C",0,14
"53","001","5084","A",0,1
"53","001","5085","A",0,1
"53","001","5100",,454,32
"53","001","5140","C",0,4
"53","001","5143","A",0,1
"53","001","5148","C",0,3
"53","001","5150",,69,11
"53","001","5153",,69,11
"53","001","5170","A",0,1
"53","001","5171","A",0,1
"53","001","5190",,191,16
"53","001","5191",,191,16
"53","001","519\","A",0,1
"53","001","52--",,609,96
"53","001","5200",,15,4
"53","001","5210","A",0,1
"53","001","5230","A",0,1
"53","001","5250","A",0,2
"53","001","5300","A",0,1
"53","001","5330","A",0,1
"53","001","5400",,130,14
"53","001","5410","C",0,13
"53","001","5420","A",0,1
"53","001","5500",,81,18
"53","001","5510",,15,3
"53","001","5530",,17,6
"53","001","5540",,49,9
"53","001","5600","A",0,5
"53","001","5620","A",0,2
"53","001","5650","A",0,2
"53","001","5700","A",0,3
"53","001","5710","A",0,2
"53","001","5712","A",0,1
"53","001","5713","A",0,1
"53","001","5730","A",0,1
"53","001","5731","A",0,1
"53","001","5800",,270,30
"53","001","5810",,270,27
"53","001","5812",,257,22
"53","001","5813",,13,5
"53","001","5900",,79,21
"53","001","5910",,45,5
"53","001","5920","A",0,5
"53","001","5940",,12,5
"53","001","5941","A",0,1
"53","001","5942","A",0,1
"53","001","5944","A",0,1
"53","001","5945","A",0,1
"53","001","5949","A",0,1
"53","001","5960","A",0,1
"53","001","5961","A",0,1
"53","001","5980","A",0,2
"53","001","5983","A",0,1
"53","001","5984","A",0,1
"53","001","5990","A",0,3
"53","001","5992","A",0,2
"53","001","5999","A",0,1
"53","001","60--",,100,24
"53","001","6000","B",0,7
"53","001","6020","B",0,6
"53","001","6030","A",0,1
"53","001","6400","B",0,10
"53","001","6500","A",0,7
"53","001","6510","A",0,3
"53","001","6530",,9,3
"53","001","6550","A",0,1
"53","001","6553","A",0,1
"53","001","70--",,480,92
"53","001","7000",,54,5
"53","001","7010",,54,5
"53","001","7200",,18,8
"53","001","7230",,11,4
"53","001","7260","A",0,2
"53","001","7290","A",0,2
"53","001","7291","A",0,1
"53","001","7299","A",0,1
"53","001","7300","A",0,2
"53","001","7340","A",0,1
"53","001","7349","A",0,1
"53","001","7500",,17,8
"53","001","7530",,17,8
"53","001","7532","A",0,1
"53","001","7536","A",0,2
"53","001","7538",,7,4
"53","001","7539","A",0,1
"53","001","7600","A",0,3
"53","001","7620","A",0,1
"53","001","7622","A",0,1
"53","001","7690","A",0,2
"53","001","7692","A",0,1
"53","001","7699","A",0,1
"53","001","7900","A",0,2
"53","001","7930","A",0,1
"53","001","7990","A",0,1
"53","001","7997","A",0,1
"53","001","8000",,216,19
"53","001","8010","B",0,5
"53","001","8020",,32,7
"53","001","8030","A",0,1
"53","001","8040","A",0,3
"53","001","8041","A",0,2
"53","001","8042","A",0,1
"53","001","8050","C",0,2
"53","001","8090","A",0,1
"53","001","8100",,32,9
"53","001","8300",,31,8
"53","001","8320","A",0,2
"53","001","8350","B",0,5
"53","001","8360","A",0,1
"53","001","8600",,74,24
"53","001","8610","A",0,1
"53","001","8620","A",0,1
"53","001","8630","A",0,1
"53","001","8640",,9,4
"53","001","8660",,52,15
"53","001","8690","A",0,1
"53","001","8700",,21,4
"53","001","8720",,21,4
"53","001","99--",,43,29
"53","003","----",,2696,347
"53","003","07--",,16,6
"53","003","0700",,16,6
"53","003","0720","A",0,1
"53","003","0740","A",0,1
"53","003","0780","A",0,2
"53","003","15--",,244,41
"53","003","1500","B",0,15
"53","003","1510","B",0,8
"53","003","1530","A",0,1
