fipstate,fipscty,sic,empflag,emp,est
53,001,----,,3898,406
53,001,07--,,338,24
53,001,0700,,338,24
53,001,0710,A,0,1
53,001,0720,,307,12
53,001,0740,A,0,1
53,001,0750,,20,4
53,001,0760,A,0,1
53,001,0761,A,0,1
53,001,0780,A,0,2
53,001,10--,A,0,1
53,001,1300,A,0,1
53,001,1310,A,0,1
53,001,15--,,115,34
53,001,1500,,24,14
53,001,1510,,21,12
53,001,1600,,39,4
53,001,1620,,39,3
53,001,1700,,52,16
53,001,1710,,8,3
53,001,1730,A,0,2
53,001,1750,A,0,1
53,001,1751,A,0,1
53,001,1760,A,0,1
53,001,1770,A,0,1
53,001,1780,A,0,1
53,001,1790,,15,6
53,001,1794,A,0,4
53,001,1799,A,0,2
53,001,20--,,1180,14
53,001,2000,,1125,4
53,001,2030,G,0,3
53,001,2037,G,0,3
53,001,2040,B,0,1
53,001,2048,B,0,1
53,001,2700,,39,3
53,001,2710,,39,3
53,001,3200,A,0,2
53,001,3270,A,0,2
53,001,3273,A,0,2
53,001,3500,,6,4
53,001,3520,A,0,2
53,001,3523,A,0,2
53,001,3590,A,0,2
53,001,3599,A,0,2
53,001,399\,A,0,1
53,001,40--,,179,43
53,001,4200,,113,32
53,001,4210,C,0,31
53,001,4220,A,0,1
53,001,4221,A,0,1
53,001,4700,B,0,4
53,001,4720,,9,3
53,001,4724,,9,3
53,001,4780,A,0,1
53,001,4800,A,0,4
53,001,4810,A,0,1
53,001,4813,A,0,1
53,001,4830,A,0,2
53,001,4900,B,0,3
53,001,4910,A,0,1
53,001,4930,A,0,2
53,001,4931,A,0,2
53,001,50--,,470,49
53,001,5000,,133,14
53,001,5040,A,0,3
53,001,5044,A,0,1
53,001,5045,A,0,1
53,001,5047,A,0,1
53,001,5080,C,0,11
53,001,5083,,115,9
53,001,5084,A,0,1
53,001,5085,A,0,1
53,001,5100,,337,35
53,001,5140,A,0,2
53,001,5143,A,0,1
53,001,5148,A,0,1
53,001,5150,,58,12
53,001,5153,,57,11
53,001,5160,A,0,1
53,001,5169,A,0,1
53,001,5170,A,0,2
53,001,5171,A,0,2
53,001,5190,,251,18
53,001,5191,E,0,17
53,001,5199,A,0,1
53,001,52--,,746,91
53,001,5200,,34,4
53,001,5210,A,0,1
53,001,5230,A,0,1
53,001,5250,A,0,2
53,001,5300,A,0,2
53,001,5330,A,0,2
53,001,5400,,158,13
53,001,5410,C,0,12
53,001,5430,A,0,1
53,001,5500,,109,17
53,001,5510,A,0,2
53,001,5530,B,0,8
53,001,5540,,50,7
53,001,5600,A,0,2
53,001,5610,A,0,1
53,001,5650,A,0,1
53,001,5700,,9,5
53,001,5710,A,0,4
53,001,5712,A,0,2
53,001,5713,A,0,2
53,001,5730,A,0,1
53,001,5731,A,0,1
53,001,5800,,339,30
53,001,5812,,311,23
53,001,5813,,28,5
53,001,5900,,81,18
53,001,5910,,45,5
53,001,5920,A,0,4
53,001,5940,,13,5
53,001,5941,A,0,2
53,001,5944,A,0,1
53,001,5945,A,0,1
53,001,5947,A,0,1
53,001,5960,A,0,2
53,001,5961,A,0,1
53,001,5963,A,0,1
53,001,5980,A,0,1
53,001,5984,A,0,1
53,001,5990,A,0,1
53,001,5992,A,0,1
53,001,60--,,119,29
53,001,6000,,66,10
53,001,6020,B,0,9
53,001,6030,A,0,1
53,001,6300,A,0,1
53,001,6360,A,0,1
53,001,6400,B,0,8
53,001,6500,,21,10
53,001,6510,,16,7
53,001,6530,A,0,2
53,001,6550,A,0,1
53,001,6553,A,0,1
53,001,70--,,745,118
53,001,7000,,41,6
53,001,7010,B,0,5
53,001,7030,A,0,1
53,001,7033,A,0,1
53,001,7200,,20,7
53,001,7230,A,0,5
53,001,7260,A,0,2
53,001,7300,A,0,3
53,001,7340,A,0,1
53,001,7349,A,0,1
53,001,7350,A,0,1
53,001,7353,A,0,1
53,001,7380,A,0,1
53,001,7389,A,0,1
53,001,7500,,40,16
53,001,7530,,33,12
53,001,7532,A,0,2
53,001,7533,A,0,1
53,001,7537,A,0,1
53,001,7538,B,0,7
53,001,7540,,7,4
53,001,7542,A,0,3
53,001,7549,A,0,1
53,001,7600,,10,5
53,001,7620,A,0,1
53,001,7622,A,0,1
53,001,7690,A,0,4
53,001,7692,A,0,1
53,001,7699,,6,3
53,001,7800,A,0,1
53,001,7830,A,0,1
53,001,7832,A,0,1
53,001,7900,,5,4
53,001,7930,A,0,1
53,001,7990,A,0,3
53,001,7991,A,0,1
53,001,7997,A,0,2
53,001,8000,,419,17
53,001,8010,,83,3
53,001,8020,,31,5
53,001,8030,A,0,1
53,001,8040,,5,3
53,001,8041,A,0,2
53,001,8042,A,0,1
53,001,8050,C,0,2
53,001,8060,C,0,2
53,001,8090,A,0,1
53,001,8100,,18,8
53,001,8200,A,0,2
53,001,8210,A,0,2
53,001,8300,,72,13
53,001,8320,A,0,2
53,001,8350,,60,8
53,001,8360,A,0,2
53,001,8390,A,0,1
53,001,8600,,77,30
53,001,8610,A,0,2
53,001,8620,A,0,1
53,001,8630,A,0,1
53,001,8640,,7,5
53,001,8650,A,0,1
53,001,8660,,56,20
53,001,8700,,24,6
53,001,8720,A,0,2
53,001,8730,A,0,2
53,001,8732,A,0,1
53,001,8734,A,0,1
53,001,8740,A,0,2
53,001,8742,A,0,1
53,001,8748,A,0,1
53,001,99--,A,0,3
53,003,----,,3330,392
53,003,07--,,32,8
53,003,0700,,32,8
53,003,0720,A,0,1
53,003,0740,A,0,2
53,003,0780,,11,3
53,003,15--,,359,61
53,003,1500,B,0,24
53,003,1510,B,0,20
53,003,1600,C,0,3
53,003,1610,C,0,2
53,003,1620,A,0,1
53,003,1700,,140,34
53,003,1710,,62,9
53,003,1720,,3,3
53,003,1730,,21,4
53,003,1740,A,0,1
53,003,1741,A,0,1
53,003,1750,,39,10
53,003,1751,B,0,8
53,003,1752,A,0,2
53,003,1770,A,0,2
53,003,1790,,10,5
53,003,1793,A,0,1
53,003,1794,A,0,2
53,003,1799,A,0,2
53,003,20--,,292,32
53,003,2000,A,0,2
53,003,2040,A,0,1
53,003,2041,A,0,1
53,003,2050,A,0,1
53,003,2051,A,0,1
53,003,2200,A,0,1
53,003,2260,A,0,1
53,003,2400,,147,12
