fipstate,fipscty,naics,empflag,emp,est
53,001,------,,3817,398
53,001,11----,,199,14
53,001,115///,,199,14
53,001,1151//,,199,14
53,001,11511/,,199,14
53,001,115112,,7,5
53,001,115113,B,0,2
53,001,115114,,158,6
53,001,115115,A,0,1
53,001,22----,B,0,3
53,001,221///,B,0,3
53,001,2211//,B,0,3
53,001,22112/,B,0,3
53,001,221122,B,0,3
53,001,23----,,130,34
53,001,233///,,38,12
53,001,2332//,A,0,7
53,001,23321/,A,0,7
53,001,233210,A,0,7
53,001,2333//,B,0,5
53,001,23331/,A,0,1
53,001,233310,A,0,1
53,001,23332/,A,0,4
53,001,233320,A,0,4
53,001,234///,,32,4
53,001,2349//,,32,4
53,001,23491/,A,0,1
53,001,234910,A,0,1
53,001,23499/,A,0,3
53,001,234990,A,0,3
53,001,235///,,60,18
53,001,2351//,,18,4
53,001,23511/,,18,4
53,001,235110,,18,4
53,001,2352//,A,0,1
53,001,23521/,A,0,1
53,001,235210,A,0,1
53,001,2353//,A,0,3
53,001,23531/,A,0,3
53,001,235310,A,0,3
53,001,2355//,A,0,1
53,001,23551/,A,0,1
53,001,235510,A,0,1
53,001,2357//,A,0,2
53,001,23571/,A,0,2
53,001,235710,A,0,2
53,001,2358//,A,0,1
53,001,23581/,A,0,1
53,001,235810,A,0,1
53,001,2359//,,13,6
53,001,23593/,,13,6
53,001,235930,,13,6
53,001,31----,,1078,15
53,001,311///,,1046,10
53,001,3111//,A,0,1
53,001,31111/,A,0,1
53,001,311119,A,0,1
53,001,3112//,A,0,1
53,001,31122/,A,0,1
53,001,311223,A,0,1
53,001,3114//,,1009,5
53,001,31141/,F,0,3
53,001,311411,F,0,3
53,001,31142/,B,0,2
53,001,311421,B,0,2
53,001,3116//,B,0,2
53,001,31161/,B,0,2
53,001,311611,A,0,1
53,001,311615,A,0,1
53,001,3118//,A,0,1
53,001,31181/,A,0,1
53,001,311811,A,0,1
53,001,326///,A,0,1
53,001,3261//,A,0,1
53,001,32619/,A,0,1
53,001,326192,A,0,1
53,001,327///,A,0,2
53,001,3273//,A,0,2
53,001,32732/,A,0,2
53,001,327320,A,0,2
53,001,333///,A,0,2
53,001,3331//,A,0,2
53,001,33311/,A,0,2
53,001,333111,A,0,2
53,001,42----,,343,33
53,001,421///,C,0,13
53,001,4214//,A,0,1
53,001,42145/,A,0,1
53,001,421450,A,0,1
53,001,4218//,C,0,12
53,001,42182/,,154,10
53,001,421820,,154,10
53,001,42183/,A,0,1
53,001,421830,A,0,1
53,001,42184/,A,0,1
53,001,421840,A,0,1
53,001,422///,C,0,20
53,001,4224//,B,0,3
53,001,42248/,B,0,2
53,001,422480,B,0,2
53,001,42249/,A,0,1
53,001,422490,A,0,1
53,001,4225//,,57,8
53,001,42251/,B,0,7
53,001,422510,B,0,7
53,001,42259/,A,0,1
53,001,422590,A,0,1
53,001,4226//,A,0,2
53,001,42269/,A,0,2
53,001,422690,A,0,2
53,001,4227//,A,0,2
53,001,42271/,A,0,1
53,001,422710,A,0,1
53,001,42272/,A,0,1
53,001,422720,A,0,1
53,001,4229//,,68,5
53,001,42291/,,68,5
53,001,422910,,68,5
53,001,44----,,522,61
53,001,441///,,59,7
53,001,4411//,A,0,2
53,001,44111/,A,0,1
53,001,441110,A,0,1
53,001,44112/,A,0,1
53,001,441120,A,0,1
53,001,4413//,B,0,5
53,001,44131/,B,0,3
53,001,441310,B,0,3
53,001,44132/,B,0,2
53,001,441320,B,0,2
53,001,442///,A,0,2
53,001,4421//,A,0,1
53,001,44211/,A,0,1
53,001,442110,A,0,1
53,001,4422//,A,0,1
53,001,44221/,A,0,1
53,001,442210,A,0,1
53,001,443///,A,0,2
53,001,4431//,A,0,2
53,001,44311/,A,0,1
53,001,443111,A,0,1
53,001,44312/,A,0,1
53,001,443120,A,0,1
53,001,444///,,118,13
53,001,4441//,,31,4
53,001,44413/,A,0,2
53,001,444130,A,0,2
53,001,44419/,A,0,2
53,001,444190,A,0,2
53,001,4442//,,87,9
53,001,44422/,,87,9
53,001,444220,,87,9
53,001,445///,C,0,7
53,001,4451//,,153,5
53,001,44511/,,153,5
53,001,445110,,153,5
53,001,4453//,A,0,2
53,001,44531/,A,0,2
53,001,445310,A,0,2
53,001,446///,,40,3
53,001,4461//,,40,3
53,001,44611/,,40,3
53,001,446110,,40,3
53,001,447///,,85,10
53,001,4471//,,85,10
53,001,44711/,B,0,6
53,001,447110,B,0,6
53,001,44719/,A,0,4
53,001,447190,A,0,4
53,001,448///,,14,4
53,001,4481//,A,0,3
53,001,44811/,A,0,1
53,001,448110,A,0,1
53,001,44819/,A,0,2
53,001,448190,A,0,2
53,001,4483//,A,0,1
53,001,44831/,A,0,1
53,001,448310,A,0,1
53,001,451///,A,0,2
53,001,4511//,A,0,1
53,001,45112/,A,0,1
53,001,451120,A,0,1
53,001,4512//,A,0,1
53,001,45121/,A,0,1
53,001,451211,A,0,1
53,001,452///,A,0,1
53,001,4529//,A,0,1
53,001,45299/,A,0,1
53,001,452990,A,0,1
53,001,453///,,13,6
53,001,4531//,,7,3
53,001,45311/,,7,3
53,001,453110,,7,3
53,001,4532//,A,0,2
53,001,45322/,A,0,2
53,001,453220,A,0,2
53,001,4539//,A,0,1
53,001,45392/,A,0,1
53,001,453920,A,0,1
53,001,454///,,12,4
53,001,4543//,,12,4
53,001,45431/,A,0,2
53,001,454311,A,0,1
53,001,454312,A,0,1
53,001,45439/,A,0,2
53,001,454390,A,0,2
53,001,48----,,152,54
53,001,484///,C,0,51
53,001,4841//,B,0,18
53,001,48411/,B,0,10
53,001,484110,B,0,10
53,001,48412/,,14,8
53,001,484121,,14,8
53,001,4842//,,89,33
53,001,48421/,A,0,1
53,001,484210,A,0,1
53,001,48422/,B,0,14
53,001,484220,B,0,14
53,001,48423/,,67,18
53,001,484230,,67,18
53,001,492///,A,0,1
53,001,4921//,A,0,1
53,001,49211/,A,0,1
53,001,492110,A,0,1
53,001,493///,A,0,2
53,001,4931//,A,0,2
53,001,49313/,A,0,2
53,001,493130,A,0,2
53,001,51----,B,0,6
53,001,511///,B,0,2
53,001,5111//,B,0,2
53,001,51111/,B,0,2
53,001,511110,B,0,2
53,001,512///,A,0,1
53,001,5121//,A,0,1
53,001,51213/,A,0,1
53,001,512131,A,0,1
53,001,513///,A,0,3
53,001,5132//,A,0,1
53,001,51322/,A,0,1
53,001,513220,A,0,1
53,001,5133//,A,0,2
53,001,51331/,A,0,2
53,001,513310,A,0,2
53,001,52----,,136,24
53,001,522///,,97,11
53,001,5221//,B,0,10
53,001,52211/,B,0,8
53,001,522110,B,0,8
53,001,52212/,A,0,2
53,001,522120,A,0,2
53,001,5223//,B,0,1
53,001,52231/,B,0,1
53,001,522310,B,0,1
53,001,524///,,39,13
53,001,5241//,A,0,2
53,001,52412/,A,0,1
53,001,524127,A,0,1
53,001,52413/,A,0,1
53,001,524130,A,0,1
53,001,5242//,B,0,11
53,001,52421/,,34,10
53,001,524210,,34,10
53,001,52429/,A,0,1
53,001,524292,A,0,1
53,001,53----,B,0,14
53,001,531///,B,0,11
53,001,5311//,,13,7
53,001,53111/,,7,4
53,001,531110,,7,4
53,001,53113/,A,0,1
53,001,531130,A,0,1
53,001,53119/,A,0,2
53,001,531190,A,0,2
53,001,5312//,A,0,1
53,001,53121/,A,0,1
53,001,531210,A,0,1
53,001,5313//,A,0,3
53,001,53139/,A,0,3
53,001,531390,A,0,3
53,001,532///,A,0,3
53,001,5322//,A,0,3
53,001,53223/,A,0,2
53,001,532230,A,0,2
53,001,53229/,A,0,1
53,001,532292,A,0,1
53,001,54----,,63,17
53,001,541///,,63,17
53,001,5411//,,17,8
53,001,54111/,,17,8
53,001,541110,,17,8
53,001,5412//,A,0,3
53,001,54121/,A,0,3
53,001,541211,A,0,2
53,001,541219,A,0,1
53,001,5413//,B,0,1
53,001,54138/,B,0,1
53,001,541380,B,0,1
53,001,5416//,A,0,2
53,001,54161/,A,0,2
53,001,541611,A,0,2
53,001,5419//,A,0,3
53,001,54194/,A,0,2
53,001,541940,A,0,2
53,001,54199/,A,0,1
53,001,541990,A,0,1
53,001,56----,A,0,9
53,001,561///,A,0,7
53,001,5613//,A,0,1
53,001,56132/,A,0,1
53,001,561320,A,0,1
53,001,5615//,A,0,2
53,001,56151/,A,0,2
53,001,561510,A,0,2
53,001,5617//,A,0,4
53,001,56172/,A,0,2
53,001,561720,A,0,2
53,001,56173/,A,0,2
53,001,561730,A,0,2
53,001,562///,A,0,2
53,001,5621//,A,0,2
53,001,56211/,A,0,2
53,001,562111,A,0,1
53,001,562119,A,0,1
53,001,61----,A,0,2
53,001,611///,A,0,2
53,001,6111//,A,0,1
53,001,61111/,A,0,1
53,001,611110,A,0,1
53,001,6116//,A,0,1
53,001,61169/,A,0,1
53,001,611691,A,0,1
53,001,62----,,538,23
53,001,621///,,202,11
53,001,6211//,B,0,2
53,001,62111/,B,0,2
53,001,621111,B,0,2
53,001,6212//,B,0,3
53,001,62121/,B,0,3
53,001,621210,B,0,3
53,001,6213//,A,0,5
53,001,62131/,,7,4
